C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.32493,0.688361,0.519546,-0.0399876,7.97082,5.139819999999999,-0.108723,1.7224099999999998,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.023382580359967046,0.0001401689283685923,,,0.1,0.0,,1,1
1.30644,0.617213,0.472438,-0.0471085,7.923710000000001,5.096830000000001,-0.107606,1.69838,,,,2,2,3,,-0.00015086902664950775,8.072639752342234e-06,-0.022495430497786958,,,2,0.0025000000000000005,1,0,1,,2,0,0.02338258035996705,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,1
1.2924,0.543547,0.420572,-0.05186609999999999,7.87184,5.05905,-0.106495,1.68012,,,,2,3,4,,-0.0004240141806171288,-8.868803830363398e-05,-0.02497857952594579,,,3,0.005000000000000002,1,0,1,,2,0,0.02338258035996706,0.0001401689283685923,,,0.1,9.916643308080816e-10,,1,1
1.28101,0.46776599999999996,0.365153,-0.055418100000000005,7.81642,5.02629,-0.10539200000000001,1.6653200000000001,,,,2,4,5,,-0.0005725844009458487,-9.408532477178304e-05,-0.02747415516273388,,,4,0.007500000000000004,1,0,1,,2,0,0.023382580359967032,0.0001401689283685923,,,0.1,9.916643308080818e-10,,1,1
1.2713299999999998,0.390024,0.306784,-0.0583691,7.75805,4.99843,-0.104296,1.65273,,,,2,5,6,,-0.000988969618569911,2.0167459965767936e-05,-0.029936586816957784,,,5,0.010000000000000004,1,0,1,,2,0,0.02338258035996701,0.0001401689283685923,,,0.1,9.916643308080811e-10,,1,1
1.2626600000000001,0.310152,0.245633,-0.0611514,7.6969,4.97543,-0.103209,1.64146,,,,2,6,7,,-0.0014205592213369569,0.00022423059280143705,-0.0323905812449467,,,6,0.0125,1,0,1,,2,0,0.02338258035996707,0.0001401689283685923,,,0.1,9.916643308080799e-10,,1,1
1.25387,0.22718000000000002,0.18118299999999998,-0.0644504,7.63245,4.9573,-0.10213,1.63004,,,,2,7,8,,-0.0018221786774796117,0.00018808942014983805,-0.03485784605199257,,,7,0.015000000000000005,1,0,1,,2,0,0.023382580359966976,0.0001401689283685923,,,0.1,9.916643308080826e-10,,1,1
1.24066,0.136973,0.110403,-0.0707793,7.5616699999999994,4.94413,-0.10106,1.61286,,,,2,8,9,,-0.0022142201825901668,0.00013547075753096117,-0.03732635465732795,,,8,0.017499999999999998,1,0,1,,2,0,0.021524382535733026,0.0001401689283685923,,,0.1,9.916643308080782e-10,,1,1
1.17458,0.756278,0.559534,-0.107384,8.0108,4.93692,-0.1,1.52696,0.002349821361603641,201.45305329803526,0.47337868800000005,1,10,1,7.0,-0.0023865619703599063,0.0002311857926050667,-0.03961922218278377,0.4710288666383964,1.8699284573082775,9,0.019801326693244747,1,0,1,1.9801326693244747,2,0,0.023382580359967025,0.0001401689283685923,,,0.1,9.128574380909311e-10,0.9349642286541388,1,1
1.35162,0.819766,0.587541,-0.028007099999999997,8.070319999999999,5.18851,-0.109846,1.75711,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
