C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.3169600000000001,0.688394,0.522713,-0.0409638,8.12695,5.09923,-0.108878,1.71205,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.011691290179983516,0.00013993118733165086,,,0.1,0.0,,1,1
1.3009600000000001,0.616767,0.474087,-0.048626,8.07832,5.07793,-0.107741,1.69125,,,,2,2,3,,-7.95501147251931e-05,-9.548747538776979e-05,-0.022496908873245333,,,2,0.0024999999999999996,1,0,1,,2,0,0.011691290179983516,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,1
1.28978,0.5424859999999999,0.420604,-0.0534828,8.02484,5.0591800000000005,-0.10661099999999998,1.67671,,,,2,3,4,,-0.00015902276368835313,-0.00023629288231873422,-0.02499167498161016,,,3,0.004999999999999999,1,0,1,,2,0,0.011691290179983523,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,1
1.2813299999999999,0.466058,0.36373,-0.056873900000000005,7.967969999999999,5.04288,-0.10548800000000001,1.66573,,,,2,4,5,,-0.00022339172522642636,-0.00013932442315648768,-0.027488964262954677,,,4,0.0075,1,0,1,,2,0,0.01169129017998353,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,1
1.2745,0.38774200000000003,0.304231,-0.059498699999999995,7.9084699999999994,5.029,-0.10437300000000001,1.65685,,,,2,5,6,,-0.00024565785203673076,-3.0333637899501338e-05,-0.029986488082325763,,,5,0.010000000000000002,1,0,1,,2,0,0.011691290179983499,0.00013993118733165086,,,0.1,9.916643308080818e-10,,1,1
1.26851,0.307477,0.242393,-0.061838300000000006,7.84663,5.017530000000001,-0.10326600000000001,1.6490599999999997,,,,2,6,7,,-0.00027002611706307487,0.00013104365069650545,-0.032481155105875195,,,6,0.012499999999999997,1,0,1,,2,0,0.01169129017998353,0.00013993118733165086,,,0.1,9.916643308080793e-10,,1,1
1.26221,0.224435,0.177811,-0.0645816,7.78205,5.0085,-0.102168,1.64087,,,,2,7,8,,2.821567158519063e-05,0.0003067108007100169,-0.034957077739543305,,,7,0.015,1,0,1,,2,0,0.011691290179983499,0.00013993118733165086,,,0.1,9.916643308080818e-10,,1,1
1.25157,0.134802,0.107706,-0.0701054,7.711939999999999,5.00194,-0.101079,1.62704,,,,2,8,9,,0.00022622958424484252,0.0004483403518494478,-0.03744519581564766,,,8,0.017499999999999995,1,0,1,,2,0,0.010762191267866513,0.00013993118733165086,,,0.1,9.916643308080793e-10,,1,1
1.19045,0.756559,0.5636770000000001,-0.104647,8.167910000000001,4.99836,-0.1,1.54759,0.002349821361603641,198.26005483330107,0.465875712,1,10,1,7.0,0.00035213869863832156,0.0004809061381429855,-0.039742844812669736,0.46352589063839633,1.8699284573082775,9,0.019801326693244744,1,0,1,1.9801326693244747,2,0,0.011691290179983512,0.00013993118733165086,,,0.1,9.128574380909311e-10,0.9349642286541388,1,1
1.34219,0.8200350000000001,0.591286,-0.0276094,8.14683,5.12331,-0.11002100000000001,1.7448400000000002,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.38687,0.876926,0.589982,0.0013035,8.03709,5.12355,-0.11002100000000001,1.80293,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080818e-10,,1,1
1.4863600000000001,0.9248959999999999,0.519993,0.06998960000000001,7.84735,5.12383,-0.11002100000000001,1.9322700000000002,,,,2,13,12,,0.0,0.0,-0.0125,,,12,0.0075,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.77867,,,0.31301100000000004,,5.12432,-0.11002100000000001,2.3122700000000003,,,,1,,,,0.0,0.0,-0.010245884900142803,,,13,0.009754115099857198,1,1,2,,3,0,,,,,0.1,8.941302168257117e-10,,1,1
1.08504,1.3691,1.26179,-0.035879,15.7167,3.69576,-0.134398,1.41056,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.011691290179983516,0.00013993118733165086,,,0.1,0.0,,1,2
1.0754700000000001,1.3170600000000001,1.2246299999999999,-0.0371644,15.6795,3.66151,-0.132198,1.39812,,,,2,2,3,,-7.95501147251931e-05,-9.548747538776979e-05,-0.022496908873245333,,,2,0.0024999999999999996,1,0,1,,2,0,0.011691290179983516,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,2
1.06584,1.26413,1.18604,-0.038593,15.6409,3.6287800000000003,-0.130004,1.3856,,,,2,3,4,,-0.00015902276368835313,-0.00023629288231873422,-0.02499167498161016,,,3,0.004999999999999999,1,0,1,,2,0,0.011691290179983523,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,2
1.05625,1.21038,1.14592,-0.0401173,15.6008,3.5975800000000002,-0.127816,1.37313,,,,2,4,5,,-0.00022339172522642636,-0.00013932442315648768,-0.027488964262954677,,,4,0.0075,1,0,1,,2,0,0.01169129017998353,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,2
1.04675,1.06705,1.0194,-0.0417119,15.5591,3.5679,-0.125633,1.36077,,,,3,5,6,,-0.00024565785203673076,-3.0333637899501338e-05,-0.029986488082325763,,,5,0.010000000000000002,1,0,1,,2,0,0.011691290179983499,0.00013993118733165086,,,0.1,9.916643308080818e-10,,1,2
1.0369,1.0116100000000001,0.9756040000000001,-0.0437991,15.5153,3.5419,-0.123455,1.34798,,,,2,6,7,,-0.00027002611706307487,0.00013104365069650545,-0.032481155105875195,,,6,0.012499999999999997,1,0,1,,2,0,0.01169129017998353,0.00013993118733165086,,,0.1,9.916643308080793e-10,,1,2
1.02739,0.9552370000000001,0.929767,-0.0458365,15.4694,3.5174,-0.12128399999999999,1.33561,,,,2,7,8,,2.821567158519063e-05,0.0003067108007100169,-0.034957077739543305,,,7,0.015,1,0,1,,2,0,0.011691290179983499,0.00013993118733165086,,,0.1,9.916643308080818e-10,,1,2
1.01813,0.897893,0.881901,-0.0478662,15.4216,3.49441,-0.11912,1.3235700000000001,,,,2,8,9,,0.00022622958424484252,0.0004483403518494478,-0.03744519581564766,,,8,0.017499999999999995,1,0,1,,2,0,0.01169129017998353,0.00013993118733165086,,,0.1,9.916643308080793e-10,,1,2
1.00904,0.7399180000000001,0.733287,-0.049930800000000004,15.3716,3.4729300000000003,-0.11696199999999998,1.31175,,,,3,9,16,,0.00036300842008230667,0.00048371753926609146,-0.039941200624272324,,,9,0.019999999999999997,1,0,1,,2,0,0.011691290179983544,0.00013993118733165086,,,0.1,9.916643308080818e-10,,1,2
1.09439,0.680096,0.680606,-0.0348204,15.3189,3.7315300000000002,-0.136602,1.4227100000000001,,,,2,16,17,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,3,2,,3,0,0.011691290179983512,0.00013993118733165086,,,0.1,9.916643308080807e-10,,1,2
1.10325,0.61846,0.625055,-0.0302676,15.2634,3.73185,-0.136602,1.43422,,,,2,17,18,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,3,2,,3,0,0.01169129017998353,0.00013993118733165086,,,0.1,9.916643308080818e-10,,1,2
1.1143,0.5542159999999999,0.566163,-0.024534200000000003,15.2045,3.7321800000000005,-0.136602,1.44859,,,,2,18,19,,0.0,0.0,-0.0125,,,12,0.0075,1,3,2,,3,0,0.011691290179983512,0.00013993118733165086,,,0.1,9.916643308080807e-10,,1,2
1.12837,0.485658,0.502735,-0.0171488,15.1411,3.73253,-0.136602,1.46688,,,,3,19,20,,0.0,0.0,-0.01,,,13,0.01,1,3,2,,3,0,0.011691290179983512,0.00013993118733165086,,,0.1,9.916643308080811e-10,,1,2
0.9457629999999999,0.408934,0.431824,-0.08237539999999999,15.0702,3.51716,-0.1,1.22949,0.0002937276702004551,1044.4655370419528,0.30678842879999996,1,20,21,16.0,-0.0013468579840254262,0.0012635906436884686,-0.03067282949432382,0.3064947011297995,0.9349642286541388,14,0.011832470002755394,2,1,3,0.1832470002755393,2,1,0.01169129017998353,0.00013993118733165086,,,0.05,7.268780556033235e-10,0.9349642286541388,3,2
0.9035340000000001,0.314986,0.34575500000000003,-0.096361,14.9841,3.4657400000000003,-0.1,1.17459,0.0002937276702004551,1171.6018819920725,0.3441318912,1,21,22,17.0,0.00030559654097776296,0.0002731628962063642,-0.04003304337156079,0.3438381635297995,0.9349642286541388,15,0.020236779373691664,2,2,4,0.023677937369166457,2,1,0.01169129017998353,0.00013993118733165086,,,0.05,9.392226366444154e-11,0.9349642286541388,3,2
0.999251,0.183687,0.222951,-0.052681399999999996,14.8613,3.45531,-0.114811,1.29903,,,,2,22,23,,0.0005308696909837106,0.0005096753520887686,-0.042435423706854325,,,16,0.022500000000000003,1,0,1,,2,0,0.0021513568096503755,0.00013993118733165086,,,0.1,9.916643308080832e-10,,1,2
0.98945,0.0887698,0.08480560000000001,-0.055551199999999995,3.1337199999999995e-05,3.4392199999999997,-0.112667,1.28629,,,,2,5,14,,0.0005164663414078635,0.0005115804511103523,-0.0449353814893216,,,17,0.025,1,0,1,,2,0,0.2742264134186047,817.9610442093317,,,0.1,9.916643308080807e-10,,1,2
0.9788979999999999,0.09957519999999999,0.09868289999999999,-0.0588913,2.0736599999999997e-05,3.42466,-0.11053099999999999,1.27257,,,,2,9,15,,0.0004908854842176145,0.00043929474202311907,-0.04743420529183493,,,18,0.027500000000000004,1,0,1,,2,0,0.035433681490739694,817.9610442093287,,,0.1,9.916643308080818e-10,,1,2
0.966031,1.4201700000000002,1.29767,-0.063428,15.7526,3.41169,-0.108404,1.25584,,,,2,10,1,,0.0005109985006906485,0.0003808221480033525,-0.04993344045930456,,,19,0.030000000000000002,1,0,1,,2,0,0.011691290179983512,0.00013993118733165086,,,0.1,9.916643308080807e-10,,1,2
0.9469920000000001,1.47007,1.33249,-0.07091130000000001,15.7153,3.4004,-0.10628499999999999,1.23109,,,,2,11,10,,0.0005734097234889191,0.00032120828768494246,-0.052431950220527594,,,20,0.0325,1,0,1,,2,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,2
