C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.0838,0.8790950000000001,0.811125,-0.00166834,8.1352,3.3623300000000005,-0.10904200000000001,1.4089399999999999,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.007014774107990117,0.00013993124385512315,,,0.1,0.0,,1,1
1.06972,0.856742,0.8009,-0.010224700000000001,8.12497,3.3491199999999997,-0.107904,1.3906399999999999,,,,2,2,3,,-5.220241461441636e-05,-1.1260418801019049e-05,-0.02249942955709435,,,2,0.0025000000000000022,1,0,1,,2,0,0.007014774107990114,0.00013993124385512315,,,0.1,9.916643308080818e-10,,1,1
1.06053,0.8333799999999999,0.785814,-0.0150858,8.10989,3.3363699999999996,-0.106767,1.37869,,,,2,3,4,,-0.00011721170646318241,-7.049524115978898e-05,-0.02499788208371827,,,3,0.005000000000000003,1,0,1,,2,0,0.007014774107990108,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
1.05397,0.809257,0.7678149999999999,-0.0179993,8.09189,3.32404,-0.10563199999999999,1.37017,,,,2,4,5,,-0.0002956542053655838,-0.00044474152875354596,-0.02746326197144506,,,4,0.0075000000000000015,1,0,1,,2,0,0.007014774107990114,0.00013993124385512315,,,0.1,9.916643308080807e-10,,1,1
1.04891,0.784551,0.747971,-0.019844099999999996,8.07204,3.3121199999999997,-0.1045,1.36358,,,,2,5,6,,-0.00033173035934361175,-0.0007810059980761,-0.02994028129268286,,,5,0.010000000000000002,1,0,1,,2,0,0.007014774107990108,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
1.04472,0.7593880000000001,0.726885,-0.0210856,8.05096,3.30061,-0.10337,1.3581299999999998,,,,2,6,7,,-0.000409136163415538,-0.0009199623389868249,-0.03243521605672313,,,6,0.0125,1,0,1,,2,0,0.007014774107990108,0.00013993124385512315,,,0.1,9.916643308080807e-10,,1,1
1.04105,0.7338359999999999,0.7048979999999999,-0.021987299999999998,8.02897,3.2894900000000002,-0.102244,1.35337,,,,2,7,8,,-8.506986297555016e-05,-0.0007986876343834482,-0.03491115496528741,,,7,0.015,1,0,1,,2,0,0.007014774107990127,0.00013993124385512315,,,0.1,9.916643308080807e-10,,1,1
1.03767,0.70786,0.682163,-0.0227351,8.00623,3.2787699999999997,-0.10112,1.34897,,,,2,8,9,,0.00024612527125181076,-0.0006829939898068411,-0.03738641752987904,,,8,0.017500000000000005,1,0,1,,2,0,0.0064573147607198955,0.00013993124385512315,,,0.1,9.916643308080832e-10,,1,1
0.07102860000000001,0.9001100000000001,0.812793,-0.529961,8.13686,3.26927,-0.1,0.0923372,0.002349821361603641,1041.0851650146176,2.44636416,1,10,1,7.0,0.0006882297974758508,-0.0006855541190958517,-0.03964487753233006,2.444014338638396,1.8699284573082775,9,0.01980132669324475,1,0,1,1.9801326693244747,2,0,0.007014774107990108,0.00013993124385512315,,,0.1,9.1285743809093e-10,0.9349642286541388,1,1
1.10743,0.9193530000000001,0.79847,0.0143232,8.126719999999999,3.3761,-0.110181,1.43966,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.15139,0.936269,0.749678,0.0487921,8.07354,3.37817,-0.110181,1.49681,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.001,1e-09,,,0.1,9.916643308080818e-10,,1,1
