C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.93303,1.23876,0.64084,-0.031720099999999994,377.296,9.668389999999999,-0.522238,2.51294,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.02338258035996707,0.00013993124385512315,,,0.1,0,,1,1
1.91003,1.16449,0.6096699999999999,-0.031170499999999997,377.265,9.46002,-0.469442,2.4830400000000004,,,,2,2,3,,3.482270245032262e-05,5.5859635726874655e-05,-0.02249913326585249,,,2,0.002500000000000003,1,0,1,,2,0,0.023382580359967032,0.00013993124385512315,,,0.1,0,,1,1
1.88805,1.09153,0.5781229999999999,-0.0315466,377.23400000000004,9.27365,-0.41665100000000005,2.45447,,,,2,3,4,,9.318622113562426e-05,-0.00011032366182575585,-0.024992920909438287,,,3,0.005000000000000003,1,0,1,,2,0,0.023382580359967046,0.00013993124385512315,,,0.1,0,,1,1
1.86733,1.01965,0.546046,-0.032077499999999995,377.20099999999996,9.106910000000001,-0.36386399999999997,2.42753,,,,2,4,5,,0.00016837379400178168,-0.000285804662733168,-0.02748562090085463,,,4,0.007500000000000003,1,0,1,,2,0,0.023382580359966997,0.00013993124385512315,,,0.1,0,,1,1
1.8478299999999999,0.9486969999999999,0.513412,-0.0326337,377.16900000000004,8.95771,-0.311082,2.40217,,,,2,5,6,,0.00022107091455610044,-0.000943535425979003,-0.029896971820269992,,,5,0.009999999999999998,1,0,1,,2,0,0.023382580359967025,0.00013993124385512315,,,0.1,0,,1,1
1.8294700000000002,0.878569,0.48023000000000005,-0.033181699999999995,377.13599999999997,8.82429,-0.258305,2.37832,,,,2,6,7,,0.00047827214108387805,-0.0015431009606995368,-0.032310344708708055,,,6,0.012499999999999997,1,0,1,,2,0,0.023382580359967046,0.00013993124385512315,,,0.1,0,,1,1
1.8122099999999999,0.8092,0.44652600000000003,-0.0337042,377.102,8.70519,-0.20553200000000002,2.35588,,,,2,7,8,,0.0006252555798251542,-0.0020222678566855644,-0.03475958846026218,,,7,0.014999999999999998,1,0,1,,2,0,0.023382580359967046,0.00013993124385512315,,,0.1,0,,1,1
1.7959900000000002,0.740555,0.412339,-0.0341876,377.06800000000004,8.59915,-0.152763,2.33478,,,,2,8,9,,0.0013641937353589273,-0.002165350109061198,-0.03714359724198918,,,8,0.017499999999999998,1,0,1,,2,0,0.021524382535733053,0.00013993124385512315,,,0.1,0,,1,1
1.64847,1.31471,0.67256,-0.27019299999999996,377.32800000000003,8.51258,-0.1,2.14301,0.002349821361603641,1089.1713394984884,2.5593580799999995,1,10,1,7.0,0.0019242977011600848,-0.002318581792352082,-0.03937045784556779,2.5570082586383958,1.8699284573082775,9,0.01980132669324475,1,0,1,1.9801326693244747,2,0,0.023382580359967025,0.00013993124385512315,,,0.1,0,0.9349642286541388,1,1
1.9547900000000002,1.3928,0.710993,-0.0384326,377.366,9.90043,-0.575038,2.54123,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.001,2.7999999999999996e-08,,,0.1,0,,1,1
