C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.02349,0.892279,0.871799,0.00049128,8.210930000000001,3.04312,-0.10914700000000001,1.33054,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.014029548215980228,0.00013993124385512315,,,0.1,0,,1,1
1.01052,0.8742120000000001,0.865108,-0.00669135,8.204239999999999,3.01741,-0.107998,1.31368,,,,2,2,3,,8.168809786181057e-05,8.211017397342789e-05,-0.022497315553549006,,,2,0.0025000000000000005,1,0,1,,2,0,0.014029548215980216,0.00013993124385512315,,,0.1,0,,1,1
1.00114,0.8555719999999999,0.854601,-0.0105067,8.19373,2.99241,-0.10685,1.30148,,,,2,3,4,,0.0002515870189517478,0.00031449384624640276,-0.024980686686801826,,,3,0.004999999999999999,1,0,1,,2,0,0.014029548215980242,0.00013993124385512315,,,0.1,0,,1,1
0.9935930000000001,0.8365520000000001,0.8419459999999999,-0.0126555,8.18108,2.96808,-0.10570299999999999,1.29167,,,,2,4,5,,0.0004873729789996327,0.0005107889762438643,-0.027461789909762047,,,4,0.007500000000000003,1,0,1,,2,0,0.014029548215980216,0.00013993124385512315,,,0.1,0,,1,1
0.987057,0.817282,0.8279989999999999,-0.013946799999999999,8.16713,2.9444,-0.10455899999999999,1.2831700000000001,,,,2,5,6,,0.0005979187384776321,0.0006620523593660035,-0.029954759830155768,,,5,0.010000000000000002,1,0,1,,2,0,0.014029548215980228,0.00013993124385512315,,,0.1,0,,1,1
0.9811110000000001,0.797858,0.8132189999999999,-0.014780000000000001,8.15235,2.9213400000000003,-0.10341600000000001,1.27544,,,,2,6,7,,0.0006790120151317224,0.0007840091410369769,-0.032450466227928944,,,6,0.012500000000000002,1,0,1,,2,0,0.014029548215980228,0.00013993124385512315,,,0.1,0,,1,1
0.9755440000000001,0.7783479999999999,0.7978609999999999,-0.015358199999999999,8.136989999999999,2.8989,-0.102275,1.26821,,,,2,7,8,,0.0009321308623837451,0.0008379687866975787,-0.034937033984055045,,,7,0.015000000000000003,1,0,1,,2,0,0.014029548215980235,0.00013993124385512315,,,0.1,0,,1,1
0.970242,0.758798,0.782071,-0.0157897,8.1212,2.87708,-0.101136,1.26131,,,,2,8,9,,0.0015357864970763624,0.0005774576270425269,-0.03734903187178195,,,8,0.017500000000000005,1,0,1,,2,0,0.012914629521439791,0.00013993124385512315,,,0.1,0,,1,1
0.0762798,0.9095030000000001,0.871308,-0.619175,8.21044,2.85755,-0.1,0.09916380000000001,0.002349821361603641,1116.0022335529084,2.622405888,1,10,1,7.0,0.0021042542569563714,0.0003602742466584828,-0.039568441778559595,2.620056066638396,1.8699284573082775,9,0.01980132669324475,1,0,1,1.9801326693244747,2,0,0.014029548215980216,0.00013993124385512315,,,0.1,0,0.9349642286541388,1,1
1.0438399999999999,0.925499,0.856477,0.014830700000000002,8.194339999999999,3.06967,-0.110296,1.35699,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.001,1e-09,,,0.1,0,,1,1
