C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.32493,0.688361,0.519546,-0.0399876,7.97082,5.139819999999999,-0.108723,1.7224099999999998,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.023382580359967046,0.00014016886338477126,,,0.1,0.0,,1,1
1.30644,0.617213,0.472438,-0.0471085,7.923710000000001,5.096830000000001,-0.107606,1.69838,,,,2,2,3,,4.525030889909798e-05,1.0358811751860822e-05,-0.022499568983757726,,,2,0.0025000000000000005,1,0,1,,2,0,0.023382580359967046,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,1
1.2924,0.543547,0.420572,-0.05186609999999999,7.87184,5.05905,-0.106495,1.68012,,,,2,3,4,,8.314383210030248e-05,5.307346352087838e-05,-0.02499891680657544,,,3,0.005000000000000001,1,0,1,,2,0,0.02338258035996701,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,1
1.28101,0.46776599999999996,0.365153,-0.055418100000000005,7.81642,5.02629,-0.10539200000000001,1.6653200000000001,,,,2,4,5,,-3.277931060734384e-05,-8.540580648295718e-05,-0.027492385337911655,,,4,0.007499999999999998,1,0,1,,2,0,0.02338258035996707,0.00014016886338477126,,,0.1,9.916643308080799e-10,,1,1
1.2713299999999998,0.390024,0.306784,-0.0583691,7.75805,4.99843,-0.104296,1.65273,,,,2,5,6,,-9.736204835694667e-05,-0.0002552227833274862,-0.02998577485107645,,,5,0.010000000000000002,1,0,1,,2,0,0.02338258035996701,0.00014016886338477126,,,0.1,9.916643308080826e-10,,1,1
1.2626600000000001,0.310152,0.245633,-0.0611514,7.6969,4.97543,-0.103209,1.64146,,,,2,6,7,,-8.433695088497966e-05,-0.00010960754787880136,-0.03248149650022746,,,6,0.012499999999999999,1,0,1,,2,0,0.023382580359967046,0.00014016886338477126,,,0.1,9.916643308080799e-10,,1,1
1.25387,0.22718000000000002,0.18118299999999998,-0.0644504,7.63245,4.9573,-0.10213,1.63004,,,,2,7,8,,-0.00017404028500835536,-0.00012525020735849665,-0.03497983767369668,,,7,0.015,1,0,1,,2,0,0.023382580359967025,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,1
1.24066,0.136973,0.110403,-0.0707793,7.5616699999999994,4.94413,-0.10106,1.61286,,,,2,8,9,,-0.00021714979467065402,-9.256963357855366e-05,-0.03747925231522259,,,8,0.017499999999999998,1,0,1,,2,0,0.021524382535733026,0.00014016886338477126,,,0.1,9.916643308080807e-10,,1,1
1.17458,0.756278,0.559534,-0.107384,8.0108,4.93692,-0.1,1.52696,0.002349821361603641,201.45305329803526,0.47337868800000005,1,10,1,7.0,7.014616167843022e-05,2.9390334292451313e-05,-0.03975931620659563,0.4710288666383964,1.8699284573082775,9,0.019801326693244747,1,0,1,1.9801326693244747,2,0,0.023382580359967025,0.00014016886338477126,,,0.1,9.128574380909311e-10,0.9349642286541388,1,1
1.35162,0.819766,0.587541,-0.028007099999999997,8.070319999999999,5.18851,-0.109846,1.75711,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.39525,0.8767360000000001,0.587095,0.000445498,7.90343,5.18874,-0.109846,1.81382,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080818e-10,,1,1
1.49335,0.92481,0.518459,0.06863589999999999,7.8749199999999995,5.189030000000001,-0.109846,1.94135,,,,2,13,12,,0.0,0.0,-0.0125,,,12,0.0075,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.78377,,,0.31147800000000003,,5.18952,-0.109846,2.31889,,,,1,,,,0.0,0.0,-0.010245884900142803,,,13,0.009754115099857198,1,1,2,,3,0,,,,,0.1,8.941302168257117e-10,,1,1
1.11304,1.36806,1.22912,-0.0335055,15.5033,3.8189900000000003,-0.13406099999999999,1.44695,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.023382580359967046,0.00014016886338477126,,,0.1,0.0,,1,2
1.10054,1.31647,1.1962,-0.0329111,15.4703,3.7491199999999996,-0.131888,1.4307,,,,2,2,3,,4.525030889909798e-05,1.0358811751860822e-05,-0.022499568983757726,,,2,0.0025000000000000005,1,0,1,,2,0,0.023382580359967046,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,2
1.08701,1.2643,1.1631,-0.033105800000000005,15.4372,3.6825099999999997,-0.129719,1.41311,,,,2,3,4,,8.314383210030248e-05,5.307346352087838e-05,-0.02499891680657544,,,3,0.005000000000000001,1,0,1,,2,0,0.02338258035996701,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,2
1.07287,1.21154,1.12925,-0.0338502,15.4034,3.6191800000000005,-0.127555,1.3947399999999999,,,,2,4,5,,-3.277931060734384e-05,-8.540580648295718e-05,-0.027492385337911655,,,4,0.007499999999999998,1,0,1,,2,0,0.02338258035996707,0.00014016886338477126,,,0.1,9.916643308080799e-10,,1,2
1.05843,1.0696700000000001,1.01062,-0.034993300000000005,15.3684,3.5591,-0.125396,1.37595,,,,3,5,6,,-9.736204835694667e-05,-0.0002552227833274862,-0.02998577485107645,,,5,0.010000000000000002,1,0,1,,2,0,0.02338258035996701,0.00014016886338477126,,,0.1,9.916643308080826e-10,,1,2
1.04324,1.01555,0.973456,-0.0371639,15.3312,3.5065800000000005,-0.123242,1.3562100000000001,,,,2,6,7,,-8.433695088497966e-05,-0.00010960754787880136,-0.03248149650022746,,,6,0.012499999999999999,1,0,1,,2,0,0.023382580359967046,0.00014016886338477126,,,0.1,9.916643308080799e-10,,1,2
1.0283799999999998,0.9605739999999999,0.934061,-0.0393952,15.2918,3.4572199999999995,-0.121093,1.3369,,,,2,7,8,,-0.00017404028500835536,-0.00012525020735849665,-0.03497983767369668,,,7,0.015,1,0,1,,2,0,0.023382580359967025,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,2
1.01378,0.904632,0.892335,-0.0417259,15.2501,3.41097,-0.11895,1.3179100000000001,,,,2,8,9,,-0.00021714979467065402,-9.256963357855366e-05,-0.03747925231522259,,,8,0.017499999999999998,1,0,1,,2,0,0.02338258035996706,0.00014016886338477126,,,0.1,9.916643308080807e-10,,1,2
0.9993479999999999,0.7469779999999999,0.7474649999999999,-0.0441978,15.2059,3.3678,-0.11681199999999999,1.29915,,,,3,9,16,,9.494839329240778e-05,3.99191263061283e-05,-0.03995615389775961,,,9,0.02,1,0,1,,2,0,0.023382580359966963,0.00014016886338477126,,,0.1,9.916643308080818e-10,,1,2
1.12381,0.6883239999999999,0.699608,-0.03526459999999999,15.158,3.8920800000000004,-0.136239,1.46096,,,,2,16,17,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,3,2,,3,0,0.023382580359967087,0.00014016886338477126,,,0.1,9.916643308080807e-10,,1,2
1.1317700000000002,0.6275310000000001,0.647932,-0.0310767,15.1063,3.89241,-0.136239,1.4713100000000001,,,,2,17,18,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,3,2,,3,0,0.023382580359967025,0.00014016886338477126,,,0.1,9.916643308080818e-10,,1,2
1.14184,0.56357,0.5918140000000001,-0.0257356,15.0502,3.8927400000000003,-0.136239,1.4843899999999999,,,,2,18,19,,0.0,0.0,-0.0125,,,12,0.0075,1,3,2,,3,0,0.023382580359967122,0.00014016886338477126,,,0.1,9.916643308080807e-10,,1,2
1.15483,0.494288,0.529709,-0.0187655,14.9881,3.8931,-0.136239,1.50128,,,,3,19,20,,0.0,0.0,-0.01,,,13,0.01,1,3,2,,3,0,0.023382580359966997,0.00014016886338477126,,,0.1,9.916643308080811e-10,,1,2
