C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.76879,1.21599,0.687469,-0.0366671,7.877739999999999,8.39156,-0.108668,2.29943,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.04676516071993414,0.00013993124385512315,,,0.1,0,,1,1
1.7379,1.1318,0.651246,-0.036222500000000005,7.84152,8.09854,-0.10756600000000001,2.25926,,,,2,2,3,,-7.586506967155361e-05,-0.00016542748381674456,-0.022493366848019322,,,2,0.0025000000000000035,1,0,1,,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,1
1.70911,1.0494299999999999,0.614023,-0.0372237,7.8043,7.84087,-0.10646900000000001,2.2218400000000003,,,,2,3,4,,-9.008523989162039e-05,-0.000350253192445155,-0.024986484824407306,,,3,0.005000000000000003,1,0,1,,2,0,0.04676516071993412,0.00013993124385512315,,,0.1,0,,1,1
1.6828599999999998,0.968628,0.5755859999999999,-0.03843680000000001,7.765860000000001,7.613910000000001,-0.105377,2.18771,,,,2,4,5,,-9.235491404901484e-05,-0.0004383407729470941,-0.027484931427146805,,,4,0.007500000000000005,1,0,1,,2,0,0.04676516071993402,0.00013993124385512315,,,0.1,0,,1,1
1.65905,0.889185,0.5359619999999999,-0.039623900000000004,7.72623,7.413760000000001,-0.10429000000000001,2.15676,,,,2,5,6,,-0.00020320311849677598,-0.0005790775218164297,-0.029978504334259887,,,5,0.010000000000000002,1,0,1,,2,0,0.04676516071993409,0.00013993124385512315,,,0.1,0,,1,1
1.63753,0.810959,0.49523199999999995,-0.04073,7.6855,7.23727,-0.103209,2.1288,,,,2,6,7,,-0.0002460257036505793,-0.0007309195541509319,-0.03247352141304257,,,6,0.012500000000000002,1,0,1,,2,0,0.04676516071993409,0.00013993124385512315,,,0.1,0,,1,1
1.61819,0.733845,0.45349700000000004,-0.041735,7.64377,7.081919999999999,-0.102133,2.10365,,,,2,7,8,,-0.0004356986604213077,-0.0010354561089078763,-0.034947643814276314,,,7,0.015000000000000003,1,0,1,,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,1
1.60091,0.6577649999999999,0.410871,-0.0426264,7.601139999999999,6.94567,-0.101064,2.08118,,,,2,8,9,,-0.0006064296996222972,-0.0013068001456760622,-0.037427003273080885,,,8,0.0175,1,0,1,,2,0,0.04304876507146605,0.00013993124385512315,,,0.1,0,,1,1
1.41716,1.30229,0.724136,-0.288711,7.91441,6.836289999999999,-0.1,1.84231,0.002349821361603641,967.4079388097078,2.2732358399999995,1,10,1,7.0,-0.0009642189537426377,-0.0013975367158713013,-0.039698535415381764,2.2708860186383957,1.8699284573082775,9,0.01980132669324475,1,0,1,1.9801326693244747,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,0.9349642286541388,1,1
1.7984099999999998,1.39002,0.769497,-0.0453612,7.96065,8.72348,-0.109776,2.33793,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.001,1e-09,,,0.1,0,,1,1
1.8064,1.47391,0.80092,-0.0314231,7.998189999999999,8.73117,-0.109776,2.34832,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.001,1e-09,,,0.1,0,,1,1
1.84027,1.54797,0.7672359999999999,0.0336843,7.961360000000001,8.739889999999999,-0.109776,2.39235,,,,2,13,12,,0.0,0.0,-0.0125,,,12,0.0075,1,1,2,,3,0,0.001,1e-09,,,0.1,0,,1,1
2.01759,,,0.422436,,8.75337,-0.109776,2.6228700000000003,,,,1,,,,0.0,0.0,-0.010245884900142803,,,13,0.009754115099857198,1,1,2,,3,0,,,,,0.1,0,,1,1
1.70875,2.2609,1.32314,-0.00532906,15.6985,7.645060000000001,-0.135041,2.2213700000000003,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.04676516071993414,0.00013993124385512315,,,0.1,0,,1,2
1.6575,2.2023,1.32869,0.00554942,15.704,7.139710000000001,-0.13284400000000002,2.15475,,,,2,2,3,,-7.586506967155361e-05,-0.00016542748381674456,-0.022493366848019322,,,2,0.0025000000000000035,1,0,1,,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,2
1.60565,2.14763,1.33755,0.00885953,15.7129,6.69015,-0.130647,2.08734,,,,2,3,4,,-9.008523989162039e-05,-0.000350253192445155,-0.024986484824407306,,,3,0.005000000000000003,1,0,1,,2,0,0.04676516071993412,0.00013993124385512315,,,0.1,0,,1,2
1.55559,2.09577,1.3472600000000001,0.00970872,15.7226,6.28806,-0.128448,2.0222599999999997,,,,2,4,5,,-9.235491404901484e-05,-0.0004383407729470941,-0.027484931427146805,,,4,0.007500000000000005,1,0,1,,2,0,0.04676516071993402,0.00013993124385512315,,,0.1,0,,1,2
1.50779,1.5336,1.01712,0.00972926,15.7323,5.92541,-0.126248,1.96013,,,,3,5,6,,-0.00020320311849677598,-0.0005790775218164297,-0.029978504334259887,,,5,0.010000000000000002,1,0,1,,2,0,0.04676516071993409,0.00013993124385512315,,,0.1,0,,1,2
1.4643700000000002,1.48421,1.01355,-0.00356772,15.7287,5.67823,-0.124047,1.90369,,,,2,6,7,,-0.0002460257036505793,-0.0007309195541509319,-0.03247352141304257,,,6,0.012500000000000002,1,0,1,,2,0,0.04676516071993409,0.00013993124385512315,,,0.1,0,,1,2
1.42829,1.4349299999999998,1.00465,-0.00889896,15.7198,5.4531,-0.12184600000000001,1.85677,,,,2,7,8,,-0.0004356986604213077,-0.0010354561089078763,-0.034947643814276314,,,7,0.015000000000000003,1,0,1,,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,2
1.3956,1.38586,0.993016,-0.011634100000000001,15.7082,5.24565,-0.119646,1.8142900000000002,,,,2,8,9,,-0.0006064296996222972,-0.0013068001456760622,-0.037427003273080885,,,8,0.0175,1,0,1,,2,0,0.046765160719933994,0.00013993124385512315,,,0.1,0,,1,2
1.36499,0.8277040000000001,0.606383,-0.0134613,15.6947,5.05346,-0.117448,1.7744799999999998,,,,3,9,16,,-0.0009951068648098665,-0.001405369995039024,-0.039894636561488686,,,9,0.019999999999999997,1,0,1,,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,2
1.75037,0.77794,0.581257,-0.0403694,15.6696,8.20688,-0.137239,2.27548,,,,2,16,17,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,3,2,,3,0,0.046765160719934175,0.00013993124385512315,,,0.1,0,,1,2
1.7517099999999999,0.727263,0.5515800000000001,-0.0403277,15.6399,8.2193,-0.137239,2.2772200000000002,,,,2,17,18,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,3,2,,3,0,0.04676516071993412,0.00013993124385512315,,,0.1,0,,1,2
1.7531,0.6759890000000001,0.519428,-0.040260000000000004,15.6077,8.23213,-0.137239,2.27903,,,,2,18,19,,0.0,0.0,-0.0125,,,12,0.0075,1,3,2,,3,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,2
1.75457,0.624326,0.48549499999999995,-0.0401475,15.5738,8.24537,-0.137239,2.28094,,,,3,19,20,,0.0,0.0,-0.01,,,13,0.01,1,3,2,,3,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,2
1.15244,0.5724279999999999,0.45008400000000004,-0.239445,15.5384,4.95674,-0.1,1.49817,0.0002937276702004551,6029.475339491716,1.7710237439999998,1,20,21,16.0,0.00043187168389662316,0.0009334519142958503,-0.03079513216335782,1.7707300163297994,0.9349642286541388,14,0.011832470002755394,2,1,3,0.1832470002755393,2,1,0.04676516071993412,0.00013993124385512315,,,0.05,0,0.9349642286541388,3,2
1.11679,0.520425,0.413389,-0.275672,15.5017,4.95034,-0.1,1.45183,0.0002937276702004551,5993.2831210577315,1.7603930879999996,1,21,22,17.0,-0.0008765624832704691,-0.0015952171944774705,-0.03997190066878721,1.7600993603297992,0.9349642286541388,15,0.020236779373691664,2,2,4,0.023677937369166457,2,1,0.04676516071993412,0.00013993124385512315,,,0.05,0,0.9349642286541388,3,2
1.33837,0.468419,0.375573,-0.025125900000000003,15.4639,4.94289,-0.115252,1.7398900000000002,,,,2,22,23,,-0.0015697199779391461,-0.0015994338274183536,-0.04231995282935606,,,16,0.022499999999999996,1,0,1,,2,0,0.008605427238601502,0.00013993124385512315,,,0.1,0,,1,2
1.31851,0.5124489999999999,0.339868,-0.0296775,3.20999e-05,4.84213,-0.11305899999999999,1.71406,,,,2,5,14,,-0.0020877720510075657,-0.0020930412909724127,-0.044715359626021974,,,17,0.025,1,0,1,,2,0,0.5484528268372094,817.6993929617458,,,0.1,0,,1,2
1.30141,0.509373,0.37317100000000003,-0.032152,2.13379e-05,4.75,-0.110871,1.69183,,,,2,9,15,,-0.0026695365048006463,-0.0028145059479673723,-0.047037220704771086,,,18,0.027500000000000004,1,0,1,,2,0,0.07086736298147939,817.6993929617428,,,0.1,0,,1,2
1.28596,2.3253,1.32847,-0.033932800000000006,15.7038,4.66596,-0.10868699999999999,1.6717400000000002,,,,2,10,1,,-0.0032579384755484415,-0.0035367592624856504,-0.049357163219250155,,,19,0.030000000000000002,1,0,1,,2,0,0.04676516071993405,0.00013993124385512315,,,0.1,0,,1,2
1.27183,2.3978,1.36884,-0.0354114,15.7448,4.5896099999999995,-0.10650699999999999,1.65337,,,,2,11,10,,-0.0038142559835116206,-0.0042163200309785,-0.05169782722594976,,,20,0.0325,1,0,1,,2,0,0.001,1e-09,,,0.1,0,,1,2
1.25892,2.4704099999999998,1.40916,-0.036694300000000006,15.7818,4.520630000000001,-0.104333,1.6366,,,,2,12,11,,-0.004653351319465929,-0.004941631035353795,-0.05393832783164301,,,21,0.035,1,0,1,,2,0,0.001,1e-09,,,0.1,0,,1,2
1.24721,2.54311,1.4494200000000002,-0.0378166,15.8215,4.45874,-0.102164,1.62137,,,,2,13,12,,-0.0055161698512560635,-0.005649007858167349,-0.05617554981699577,,,22,0.037500000000000006,1,0,1,,2,0,0.001,1e-09,,,0.1,0,,1,2
1.0063600000000001,1.34449,0.7652260000000001,-0.287532,7.94735,4.4486099999999995,-0.1,1.30826,0.002349821361603641,688.9272905814457,1.618856064,1,29,13,15.0,-0.005710740670945866,-0.005830194311278346,-0.056550976278684,1.6165062426383965,1.8699284573082775,23,0.03796003408873849,1,0,1,3.7960034088738492,2,0,0.001,1e-09,,,0.1,0,0.9349642286541388,1,2
1.7551400000000001,1.41652,0.8022779999999999,-0.0403823,7.993239999999999,8.252,-0.137239,2.2816799999999997,,,,2,30,29,,0.0020225424859373685,-2.476900181542729e-19,-0.008530536869268817,,,24,0.0125,2,4,7,,4,2,0.001,1e-09,,,0.2,0,,2,2
1.7576599999999998,1.48627,0.824794,-0.037099400000000005,8.01871,8.259039999999999,-0.137239,2.28496,,,,2,31,30,,0.004045084971874737,-4.953800363085458e-19,-0.007061073738537633,,,25,0.015000000000000001,2,4,7,,4,2,0.001,1e-09,,,0.2,0,,2,2
1.7662799999999999,1.5497299999999998,0.780058,-0.0225941,7.9754,8.26656,-0.137239,2.29616,,,,2,32,31,,0.006067627457812106,-7.430700544628187e-19,-0.00559161060780645,,,26,0.0175,2,4,7,,4,2,0.001,1e-09,,,0.2,0,,2,2
1.8025799999999998,1.2713299999999998,0.724345,0.044588800000000005,7.915789999999999,8.275,-0.137239,2.3433599999999997,,,,2,24,13,,0.008090169943749474,-9.907600726170917e-19,-0.004122147477075266,,,27,0.02,2,4,7,,4,2,0.001,1e-09,,,0.2,0,,2,2
1.98715,1.3441299999999998,0.764727,0.435032,7.9539100000000005,8.287930000000001,-0.137239,2.5832900000000003,,,,1,25,24,,0.008387570252924281,-1.0271811062867277e-18,-0.0039060735046178275,,,28,0.020367606998669515,2,4,7,,4,2,0.001,1e-09,,,0.2,0,,2,2
1.75699,1.41625,0.801826,-0.0370518,7.999,8.2524,-0.137239,2.28409,,,,2,26,25,,0.0,0.0,-0.0075,,,29,0.0125,1,3,2,,3,0,0.001,1e-09,,,0.1,0,,1,2
1.76563,1.48609,0.82442,-0.022516099999999997,8.017619999999999,8.25992,-0.137239,2.2953200000000002,,,,2,27,26,,0.0,0.0,-0.005,,,30,0.015,1,3,2,,3,0,0.001,1e-09,,,0.1,0,,1,2
1.8019900000000002,1.54964,0.779832,0.0447367,7.97803,8.26835,-0.137239,2.34258,,,,2,28,27,,0.0,0.0,-0.0025,,,31,0.017499999999999998,1,3,2,,3,0,0.001,1e-09,,,0.1,0,,1,2
