C_ST,JS_ST,JW_ST,JW_Trsv,JW_Xyl,P_ST,P_Xyl,Q_ST,c_demand_2,c_satis,carbon_q,connect_no,connection_1,connection_2,connection_belong,coor_x,coor_y,coor_z,exudation,growth_rate,id,length,order,organ_id,organ_id2,organ_length,organ_type,parent_organ,r_st,r_xyl,r_xyl_node,radial_water,radius,res_main,rw_satis,sub_type,time
1.24403,0.7697350000000001,0.618745,-0.0242,7.938210000000001,0.7738659999999999,-0.108725,1.61723,,,,2,1,2,,0.0,0.0,-0.02,,,1,0.0,1,0,0,,2,0,0.011691290179983523,0.00013993124385512315,,,0.1,0.0,,1,1
1.22519,0.71787,0.585924,-0.032821499999999997,7.90539,0.751814,-0.10761400000000002,1.59275,,,,2,2,3,,-1.5807887027410033e-05,-3.023180130173994e-05,-0.022499767218942153,,,2,0.0025000000000000005,1,0,1,,2,0,0.01169129017998353,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
1.21184,0.66357,0.547573,-0.038350800000000004,7.867039999999999,0.7316199999999999,-0.10650799999999999,1.57539,,,,2,3,4,,2.8836846892576388e-05,0.0001033811525860418,-0.024995794948412843,,,3,0.005000000000000003,1,0,1,,2,0,0.011691290179983523,0.00013993124385512315,,,0.1,9.916643308080818e-10,,1,1
1.20161,0.607244,0.50536,-0.0422128,7.82482,0.713188,-0.10540699999999999,1.56209,,,,2,4,5,,3.8349168158051396e-06,0.000198784093240661,-0.027493848827416834,,,4,0.007500000000000003,1,0,1,,2,0,0.011691290179983512,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
1.1932,0.549096,0.460187,-0.0451735,7.77965,0.696479,-0.10431199999999999,1.55116,,,,2,5,6,,5.7596226348480224e-05,0.0002834307780352576,-0.029991836949956774,,,5,0.010000000000000002,1,0,1,,2,0,0.011691290179983523,0.00013993124385512315,,,0.1,9.916643308080807e-10,,1,1
1.18571,0.489016,0.412423,-0.04776369999999999,7.731889999999999,0.681485,-0.103224,1.5414299999999999,,,,2,6,7,,0.0003561596354919392,0.0004274507535557648,-0.03246976312669645,,,6,0.012500000000000002,1,0,1,,2,0,0.011691290179983499,0.00013993124385512315,,,0.1,9.916643308080811e-10,,1,1
1.1778899999999999,0.426091,0.36174,-0.0506825,7.6812,0.668221,-0.102142,1.53126,,,,2,7,8,,0.0008113658520446684,0.0004720200080904455,-0.03492756720390886,,,7,0.014999999999999998,1,0,1,,2,0,0.011691290179983535,0.00013993124385512315,,,0.1,9.916643308080793e-10,,1,1
1.1659700000000002,0.356483,0.30574,-0.055999900000000005,7.6252,0.656744,-0.10106699999999999,1.51576,,,,2,8,9,,0.0010404108304639822,0.0007642537725054603,-0.03739984102062026,,,8,0.0175,1,0,1,,2,0,0.010762191267866513,0.00013993124385512315,,,0.1,9.916643308080826e-10,,1,1
0.7526729999999999,0.818549,0.642945,-0.247744,7.96241,0.647996,-0.1,0.978475,0.002349821361603641,524.2974075098267,1.232005248,1,10,1,7.0,0.0010672913749668336,0.0010744781968493016,-0.039680003907764196,1.2296554266383966,1.8699284573082775,9,0.01980132669324475,1,0,1,1.9801326693244747,2,0,0.011691290179983512,0.00013993124385512315,,,0.1,9.128574380909311e-10,0.9349642286541388,1,1
1.27312,0.8634370000000001,0.6524399999999999,-0.00949453,7.97737,0.798016,-0.109839,1.6550599999999998,,,,2,11,10,,0.0,0.0,-0.0175,,,10,0.0024999999999999988,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.3234,0.9031440000000001,0.6312180000000001,0.0212213,7.9553,0.798246,-0.109839,1.72042,,,,2,12,11,,0.0,0.0,-0.015,,,11,0.005000000000000001,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080818e-10,,1,1
1.43079,0.93622,0.539669,0.09154960000000001,7.878839999999999,0.798519,-0.109839,1.8600299999999999,,,,2,13,12,,0.0,0.0,-0.0125,,,12,0.0075,1,1,2,,3,0,0.0001,1e-09,,,0.1,9.916643308080807e-10,,1,1
1.7348,,,0.332687,,0.7989729999999999,-0.109839,2.25524,,,,1,,,,0.0,0.0,-0.010245884900142803,,,13,0.009754115099857198,1,1,2,,3,0,,,,,0.1,8.941302168257117e-10,,1,1
