time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
1,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.04676516071993409,,-0.0794941,0.609321,0.46870900000000004,-0.10929000000000001,0.82381,8.74804,1.41485,0.663154
1,2,2,1,2,0,1,0,0.0025000000000000005,3.9666573232323245e-09,,,,,,,1,,-2.5497161074384957e-05,3.0610492503576615e-06,-0.022499868101471483,2,3,0.1,,,0.0001401689298628721,0.046765160719934064,,-0.0860247,0.582608,0.44816000000000006,-0.10806400000000001,0.75947,8.66201,1.32883,0.595527
1,3,2,1,2,0,1,0,0.005,3.9666573232323245e-09,,,,,,,1,,-1.0460563620287685e-05,1.7960341573713003e-05,-0.024999778482230214,3,4,0.1,,,0.0001401689298628721,0.0467651607199341,,-0.10369300000000001,0.5566439999999999,0.428188,-0.10685,0.700519,8.55832,1.2251299999999998,0.524588
1,4,2,1,2,0,1,0,0.0075000000000000015,3.966657323232326e-09,,,,,,,1,,1.866576698431668e-05,0.0003398750196491648,-0.027478794939800655,4,5,0.1,,,0.0001401689298628721,0.04676516071993409,,-0.12645499999999998,0.532258,0.409429,-0.10565,0.647447,8.43187,1.0986799999999999,0.44983100000000004
1,5,2,1,2,0,1,0,0.010000000000000002,3.9666573232323245e-09,,,,,,,1,,-0.00028092349540155185,0.00025098141658674785,-0.029959186884876608,5,6,0.1,,,0.0001401689298628721,0.04676516071993405,,-0.153313,0.509882,0.392217,-0.104468,0.600897,8.27855,0.945367,0.370788
1,6,2,1,2,0,1,0,0.0125,3.966657323232323e-09,,,,,,,1,,-0.0004398759234061772,1.537068455588278e-05,-0.03244297868544752,6,7,0.1,,,0.0001401689298628721,0.046765160719934175,,-0.183849,0.48995900000000003,0.376891,-0.103308,0.561641,8.0947,0.761518,0.28701
1,7,2,1,2,0,1,0,0.015000000000000006,3.966657323232333e-09,,,,,,,1,,-0.0005332515956932599,-0.00017890892766352187,-0.03493366863325332,7,8,0.1,,,0.0001401689298628721,0.04676516071993405,,-0.217087,0.473049,0.36388400000000004,-0.102173,0.530578,7.877619999999999,0.544431,0.19810999999999998
1,8,2,1,2,0,1,0,0.017500000000000005,3.966657323232323e-09,,,,,,,1,,-0.0006305189340178166,-0.00048526624220857577,-0.03741291937908763,8,9,0.1,,,0.0001401689298628721,0.04304876507146605,,-0.250825,0.45988100000000004,0.35375500000000004,-0.101069,0.5087,7.62679,0.293605,0.10386400000000001
1,9,2,1,1,0,1,0,0.019801326693244754,3.6514297523637244e-09,0.358953984,152.7579882732154,0.9349642286541388,0.002349821361603641,1.8699284573082775,0.35660416263839634,1,1.9801326693244747,-0.0008300683892028543,-0.0008153964694342037,-0.039681685254414595,10,1,0.1,,,0.0001401689298628721,0.04676516071993405,7.0,-0.292713,0.4506,0.346616,-0.1,0.497965,8.82753,1.49435,0.728121
1,10,3,1,2,1,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,11,10,0.1,,,1e-09,0.0001,,-0.119274,0.633425,0.48725,-0.110527,0.8933129999999999,8.94593,1.61362,0.791449
1,11,3,1,2,1,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,12,11,0.1,,,1e-09,0.0001,,-0.07428480000000001,0.637624,0.49048,-0.110527,0.893474,9.019789999999999,1.6879099999999998,0.853118
1,12,3,1,2,1,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,13,12,0.1,,,1e-09,0.0001,,0.137712,0.6570590000000001,0.50543,-0.110527,0.8936459999999999,8.88407,1.55019,0.9105790000000001
1,13,3,1,1,1,2,0,0.009754115099857198,3.576520867302847e-09,,,,,,,1,,0.0,0.0,-0.010245884900142803,,,0.1,,,,,,1.34321,0.763616,0.5873970000000001,-0.110527,0.8938209999999999,,,
2,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.04676516071993409,,0.00636434,0.634777,0.48828999999999995,-0.138317,0.8393639999999999,17.0078,2.35059,1.1477700000000002
2,2,2,1,2,0,1,0,0.0025000000000000005,3.9666573232323245e-09,,,,,,,1,,-2.5497161074384957e-05,3.0610492503576615e-06,-0.022499868101471483,2,3,0.1,,,0.0001401689298628721,0.046765160719934064,,0.036796499999999996,0.5935189999999999,0.456553,-0.135933,0.729937,17.0446,2.3873900000000003,1.08997
2,3,2,1,2,0,1,0,0.005,3.9666573232323245e-09,,,,,,,1,,-1.0460563620287685e-05,1.7960341573713003e-05,-0.024999778482230214,3,4,0.1,,,0.0001401689298628721,0.0467651607199341,,0.048293,0.550542,0.423494,-0.133544,0.622995,17.0929,2.43568,1.0315
2,4,2,1,2,0,1,0,0.0075000000000000015,3.966657323232326e-09,,,,,,,1,,1.866576698431668e-05,0.0003398750196491648,-0.027478794939800655,4,5,0.1,,,0.0001401689298628721,0.04676516071993409,,0.0564919,0.5071180000000001,0.39009099999999997,-0.13114800000000001,0.5181140000000001,17.1493,2.49217,0.972174
2,5,2,1,3,0,1,0,0.010000000000000002,3.9666573232323245e-09,,,,,,,1,,-0.00028092349540155185,0.00025098141658674785,-0.029959186884876608,5,6,0.1,,,0.0001401689298628721,0.04676516071993405,,0.0654947,0.463505,0.356542,-0.128744,0.414934,17.2148,2.32178,0.8278110000000001
2,6,2,1,2,0,1,0,0.0125,3.966657323232323e-09,,,,,,,1,,-0.0004398759234061772,1.537068455588278e-05,-0.03244297868544752,6,7,0.1,,,0.0001401689298628721,0.046765160719934175,,0.04635,0.420674,0.32359499999999997,-0.126331,0.322471,17.2612,2.36813,0.766314
2,7,2,1,2,0,1,0,0.015000000000000006,3.966657323232333e-09,,,,,,,1,,-0.0005332515956932599,-0.00017890892766352187,-0.03493366863325332,7,8,0.1,,,0.0001401689298628721,0.04676516071993405,,0.0439856,0.379377,0.291829,-0.123911,0.23163699999999998,17.3051,2.4121099999999998,0.703924
2,8,2,1,2,0,1,0,0.017500000000000005,3.966657323232323e-09,,,,,,,1,,-0.0006305189340178166,-0.00048526624220857577,-0.03741291937908763,8,9,0.1,,,0.0001401689298628721,0.04676516071993412,,0.048125699999999993,0.338606,0.260466,-0.121486,0.14235699999999998,17.3533,2.46024,0.640808
2,9,2,1,3,0,1,0,0.020000000000000007,3.966657323232327e-09,,,,,,,1,,-0.0008472954740140607,-0.0008438965794339286,-0.03987754758896613,9,16,0.1,,,0.0001401689298628721,0.046765160719933994,,0.0566322,0.298076,0.229289,-0.11905299999999999,0.0543994,17.4099,2.13563,0.489676
2,10,3,1,2,3,2,0,0.0024999999999999988,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0175,16,17,0.1,,,0.0001401689298628721,0.046765160719934175,,-0.11259000000000001,0.668409,0.514161,-0.1407,0.9520219999999999,17.418,2.14371,0.42386999999999997
2,11,3,1,2,3,2,0,0.005000000000000001,3.966657323232327e-09,,,,,,,1,,0.0,0.0,-0.015,17,18,0.1,,,0.0001401689298628721,0.04676516071993412,,-0.11244000000000001,0.668519,0.514246,-0.1407,0.952274,17.3932,2.1189299999999998,0.355344
2,12,3,1,2,3,2,0,0.0075,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0125,18,19,0.1,,,0.0001401689298628721,0.04676516071993412,,-0.11208900000000001,0.668652,0.5143479999999999,-0.1407,0.9525379999999999,17.3247,2.0504700000000002,0.281478
2,13,3,1,3,3,2,0,0.01,3.9666573232323245e-09,,,,,,,1,,0.0,0.0,-0.01,19,20,0.1,,,0.0001401689298628721,0.04676516071993412,,-0.111105,0.6688470000000001,0.514497,-0.1407,0.9528139999999999,17.1751,1.90088,0.198659
2,14,2,3,1,1,3,1,0.011832470002755394,7.268780556033235e-10,0.2906675712000001,989.5818497509389,0.9349642286541388,0.0002937276702004551,0.9349642286541388,0.2903738435297996,2,0.1832470002755393,-8.508612589711945e-05,-0.0014718072704701525,-0.030552139813406938,20,21,0.05,,,0.0001401689298628721,0.046765160719933994,16.0,-0.235156,0.371977,0.286136,-0.1,0.304761,16.8873,1.6130000000000002,0.110299
2,15,2,3,1,2,4,1,0.02023677937369167,9.392226366444016e-11,0.30210658560000003,1028.5261357700033,0.9349642286541388,0.0002937276702004551,0.9349642286541388,0.30181285792979956,2,0.023677937369166457,-0.0010711111359995025,-0.0008049731627463825,-0.039944300782816335,21,22,0.05,,,0.0001401689298628721,0.046765160719933994,17.0,-0.380787,0.23113699999999998,0.177797,-0.1,0.0344345,16.4361,1.16182,0.0386761
2,16,2,1,2,0,1,0,0.022500000000000003,3.966657323232317e-09,,,,,,,1,,-0.001079707065345524,-0.001068206442969765,-0.04235659376387601,22,23,0.1,,,0.0001401689298628721,0.008605427238601502,,0.00808546,0.25704499999999997,0.19772699999999999,-0.11661300000000001,-0.019402000000000003,15.8877,0.613494,0.005976100000000001
2,17,2,1,2,0,1,0,0.02500000000000001,3.966657323232333e-09,,,,,,,1,,-0.0013332789168572024,-0.0013082009984928472,-0.044832094507047025,5,14,0.1,,,817.5557556665477,0.5484528268372094,,-0.0247763,0.218009,0.16769900000000001,-0.11417200000000001,-0.09101489999999998,3.51584e-05,0.235891,0.0841052
2,18,2,1,2,0,1,0,0.02750000000000001,3.966657323232327e-09,,,,,,,1,,-0.0016407334528892354,-0.001379189653586435,-0.04731210102299035,9,15,0.1,,,817.5557556665447,0.07086736298147835,,-0.06846260000000001,0.178457,0.137275,-0.11173399999999999,-0.15958699999999998,2.33054e-05,0.381244,0.08741510000000001
2,19,2,1,2,0,1,0,0.030000000000000013,3.966657323232327e-09,,,,,,,1,,-0.0020100277631945095,-0.0013828560147521331,-0.049784672209057995,10,1,0.1,,,0.0001401689298628721,0.04676516071993405,,-0.149594,0.13586199999999998,0.10450899999999999,-0.109305,-0.223872,17.0014,2.34423,1.20531
2,20,2,1,2,0,1,0,0.032500000000000015,3.966657323232327e-09,,,,,,,1,,-0.0024448117591828345,-0.0014270255819793132,-0.05224617823711549,11,10,0.1,,,1e-09,0.0001,,-0.287879,0.0888961,0.0683816,-0.106898,-0.281498,17.1138,2.45682,1.2634100000000001
2,21,2,1,2,0,1,0,0.03500000000000001,3.966657323232317e-09,,,,,,,1,,-0.0029092474297843047,-0.0015766523223970854,-0.054698098167787146,12,11,0.1,,,1e-09,0.0001,,-0.451183,0.043276199999999994,0.033289400000000004,-0.104531,-0.32864699999999997,17.2237,2.56926,1.32149
2,22,2,1,2,0,1,0,0.037500000000000006,3.966657323232317e-09,,,,,,,1,,-0.0033640531312104406,-0.0017225029456339204,-0.05715204995412112,13,12,0.1,,,1e-09,0.0001,,-0.548322,0.0126634,0.00974109,-0.102227,-0.36144899999999996,17.3376,2.68135,1.37955
2,23,2,1,1,0,1,0,0.03796003408873849,7.29919034812411e-10,0.0206534016,8.789349666097612,0.9349642286541388,0.002349821361603641,1.8699284573082775,0.018303580238396358,1,3.7960034088738492,-0.003424529087517247,-0.0017148199726715841,-0.05760802692002695,29,13,0.1,,,1e-09,0.0001,15.0,-0.613491,0.00162771,0.00125209,-0.1,-0.364564,8.78347,1.45187,0.747749
2,24,4,2,2,4,7,2,0.0125,1.5866629292929298e-08,,,,,,,2,,0.0020225424859373685,-2.476900181542729e-19,-0.008530536869268817,30,29,0.2,,,1e-09,0.0001,,-0.111174,0.6688930000000001,0.514533,-0.1407,0.952952,8.888160000000001,1.55599,0.805379
2,25,4,2,2,4,7,2,0.015000000000000001,1.5866629292929298e-08,,,,,,,2,,0.004045084971874737,-4.953800363085458e-19,-0.007061073738537633,31,30,0.2,,,1e-09,0.0001,,-0.10411199999999998,0.669588,0.5150680000000001,-0.1407,0.953101,8.955119999999999,1.62371,0.861791
2,26,4,2,2,4,7,2,0.0175,1.5866629292929298e-08,,,,,,,2,,0.006067627457812106,-7.430700544628187e-19,-0.00559161060780645,32,31,0.2,,,1e-09,0.0001,,-0.0677227,0.672932,0.51764,-0.1407,0.953262,8.83578,1.50155,0.9147059999999999
2,27,4,2,2,4,7,2,0.02,1.586662929292929e-08,,,,,,,2,,0.008090169943749474,-9.907600726170917e-19,-0.004122147477075266,24,13,0.2,,,1e-09,0.0001,,0.122127,0.6900310000000001,0.5307930000000001,-0.1407,0.953432,8.66923,1.34059,0.6897760000000001
2,28,4,2,1,4,7,2,0.020367606998669515,2.333073589350216e-09,,,,,,,2,,0.008387570252924281,-1.0271811062867277e-18,-0.0039060735046178275,25,24,0.2,,,1e-09,0.0001,,1.29449,0.791971,0.609208,-0.1407,0.953606,8.78177,1.45176,0.7477550000000001
2,29,3,1,2,3,2,0,0.0125,3.9666573232323245e-09,,,,,,,1,,0.0,0.0,-0.0075,26,25,0.1,,,1e-09,0.0001,,-0.104121,0.669535,0.515027,-0.1407,0.9529629999999999,8.88461,1.55587,0.8053819999999999
2,30,3,1,2,3,2,0,0.015,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.005,27,26,0.1,,,1e-09,0.0001,,-0.0677206,0.67288,0.5176,-0.1407,0.953124,8.95393,1.6235899999999999,0.861793
2,31,3,1,2,3,2,0,0.017499999999999998,3.966657323232323e-09,,,,,,,1,,0.0,0.0,-0.0025,28,27,0.1,,,1e-09,0.0001,,0.12215999999999999,0.689982,0.530755,-0.1407,0.9532940000000001,8.83383,1.50147,0.9147069999999999
2,32,3,1,1,3,2,0,0.019032516392808094,2.431586949002328e-09,,,,,,,1,,0.0,0.0,-0.0009674836071919035,,,0.1,,,,,,1.29457,0.791928,0.609176,-0.1407,0.953468,,,
